Distance_m,RSSI_dBm,Timestamp,RSSI_filtered
0.15,-51,1770628280.5154,-51.0
0.15,-51,1770628280.51551,-51.0
0.15,-51,1770628280.5156,-51.0
0.15,-51,1770628280.51568,-51.0
0.15,-51,1770628280.51577,-51.0
0.15,-51,1770628280.51586,-51.0
0.15,-51,1770628280.51607,-51.0
0.15,-51,1770628280.51615,-51.0
0.15,-51,1770628280.51622,-51.0
0.15,-51,1770628280.51628,-51.0
0.15,-51,1770628280.51635,-51.0
0.15,-51,1770628280.51641,-51.0
0.15,-51,1770628280.51647,-51.0
0.15,-51,1770628280.51654,-51.0
0.15,-51,1770628280.5166,-51.0
0.15,-51,1770628280.51666,-51.0
0.15,-51,1770628280.51673,-51.0
0.15,-51,1770628280.5168,-51.0
0.15,-51,1770628280.51686,-51.0
0.15,-51,1770628280.51692,-51.0
0.15,-51,1770628280.51699,-51.0
0.15,-51,1770628280.51705,-51.0
0.15,-51,1770628280.51711,-51.0
0.15,-51,1770628280.51718,-51.0
0.15,-52,1770628280.51724,-51.02222288641622
0.15,-51,1770628280.5173,-51.0217397650009
0.15,-51,1770628280.51737,-51.021277201535064
0.15,-51,1770628280.51743,-51.02083391115016
0.15,-52,1770628280.51749,-51.040817617524844
0.15,-51,1770628280.51756,-51.04000123418991
0.15,-50,1770628280.51762,-51.01960824434344
0.15,-51,1770628280.5177,-51.01923114711039
0.15,-51,1770628280.51776,-51.018868279614
0.15,-51,1770628280.51783,-51.01851885131515
0.15,-51,1770628280.51789,-51.01818212916835
0.15,-50,1770628280.51795,-50.999999420538536
0.15,-51,1770628280.51802,-50.99999943070504
0.15,-51,1770628280.51808,-50.99999944052099
0.15,-51,1770628280.51814,-50.999999450004196
0.15,-52,1770628280.51821,-51.01666706666105
0.15,-52,1770628280.51827,-51.03278822130833
0.15,-52,1770628280.51833,-51.04838935560343
0.15,-53,1770628280.5184,-51.07936924224868
0.15,-55,1770628280.51846,-51.14063306407691
0.15,-56,1770628280.51852,-51.215397556743305
0.15,-56,1770628280.51859,-51.28789654148858
0.15,-56,1770628280.51865,-51.35823145877857
0.15,-56,1770628280.51872,-51.42649778200373
0.15,-56,1770628280.51878,-51.492785449875115
0.15,-56,1770628280.51884,-51.55717926175791
0.15,-56,1770628280.51891,-51.6197592395966
0.15,-56,1770628280.51897,-51.68060095967969
0.15,-56,1770628280.51903,-51.7397758571362
0.15,-56,1770628280.5191,-51.79735150574327
0.15,-56,1770628280.51916,-51.85339187534919
0.15,-56,1770628280.51922,-51.90795756897358
0.15,-56,1770628280.51928,-51.9611060414323
0.15,-56,1770628280.51935,-52.01289180114507
0.15,-55,1770628280.51951,-52.050707096809674
0.15,-55,1770628280.5196,-52.08757706007449
0.15,-54,1770628280.5197,-52.111189717932724
0.15,-55,1770628280.51977,-52.14642293458856
