Distance_m,RSSI_dBm,Timestamp
0.15,-51,1770628280.5154000
0.15,-51,1770628280.5155100
0.15,-51,1770628280.5156000
0.15,-51,1770628280.5156800
0.15,-51,1770628280.5157700
0.15,-51,1770628280.515860
0.15,-51,1770628280.5160700
0.15,-51,1770628280.5161500
0.15,-51,1770628280.5162200
0.15,-51,1770628280.516280
0.15,-51,1770628280.5163500
0.15,-51,1770628280.5164100
0.15,-51,1770628280.5164700
0.15,-51,1770628280.5165400
0.15,-51,1770628280.5166000
0.15,-51,1770628280.5166600
0.15,-51,1770628280.5167300
0.15,-51,1770628280.5168000
0.15,-51,1770628280.5168600
0.15,-51,1770628280.516920
0.15,-51,1770628280.5169900
0.15,-51,1770628280.5170500
0.15,-51,1770628280.5171100
0.15,-51,1770628280.5171800
0.15,-52,1770628280.5172400
0.15,-51,1770628280.5173000
0.15,-51,1770628280.5173700
0.15,-51,1770628280.5174300
0.15,-52,1770628280.517490
0.15,-51,1770628280.517560
0.15,-50,1770628280.5176200
0.15,-51,1770628280.5177000
0.15,-51,1770628280.5177600
0.15,-51,1770628280.5178300
0.15,-51,1770628280.51789
0.15,-50,1770628280.5179500
0.15,-51,1770628280.5180200
0.15,-51,1770628280.5180800
0.15,-51,1770628280.5181400
0.15,-52,1770628280.5182100
0.15,-52,1770628280.5182700
0.15,-52,1770628280.5183300
0.15,-53,1770628280.5184000
0.15,-55,1770628280.5184600
0.15,-56,1770628280.5185200
0.15,-56,1770628280.518590
0.15,-56,1770628280.5186500
0.15,-56,1770628280.518720
0.15,-56,1770628280.5187800
0.15,-56,1770628280.5188400
0.15,-56,1770628280.5189100
0.15,-56,1770628280.5189700
0.15,-56,1770628280.5190300
0.15,-56,1770628280.5191000
0.15,-56,1770628280.5191600
0.15,-56,1770628280.5192200
0.15,-56,1770628280.5192800
0.15,-56,1770628280.5193500
0.15,-55,1770628280.5195100
0.15,-55,1770628280.5196000
0.15,-54,1770628280.5197000
0.15,-55,1770628280.5197700
0.15,-56,1770628280.5198300
0.15,-56,1770628280.5198900
0.15,-55,1770628280.5199700
0.15,-55,1770628280.520130
0.15,-55,1770628280.5202000
0.15,-56,1770628280.5202700
0.15,-56,1770628280.520330
0.15,-55,1770628280.5204
0.15,-55,1770628280.5204600
0.15,-55,1770628280.520530
0.15,-55,1770628280.5205900
0.15,-55,1770628280.5206500
0.15,-55,1770628280.5207800
0.15,-55,1770628280.5208400
0.15,-55,1770628280.520970
0.15,-55,1770628280.521050
0.15,-55,1770628280.5211500
0.15,-55,1770628280.521230
0.15,-55,1770628280.5213200
0.15,-55,1770628280.5214000
0.15,-55,1770628280.5215100
0.15,-55,1770628280.5216100
0.15,-55,1770628280.5217500
0.15,-55,1770628280.5218400
0.15,-55,1770628280.5219200
0.15,-55,1770628280.5220000
0.15,-55,1770628280.5220800
0.15,-55,1770628280.5221600
0.15,-55,1770628280.5222400
0.15,-55,1770628280.5223200
0.15,-55,1770628280.5224000
0.15,-55,1770628280.522490
0.15,-55,1770628280.5225800
0.15,-55,1770628280.5227100
0.15,-55,1770628280.5228000
0.15,-55,1770628280.5228800
0.15,-57,1770628280.5229800
0.15,-55,1770628280.5230700
0.15,-55,1770628280.6223900
0.15,-56,1770628280.7172800
0.15,-56,1770628280.8262700
0.15,-55,1770628280.9172700
0.15,-56,1770628281.01791
0.15,-56,1770628281.1176700
0.15,-56,1770628281.216600
0.15,-56,1770628281.317280
0.15,-56,1770628281.4169400
0.15,-56,1770628281.5169700
0.15,-56,1770628281.6170900
0.15,-56,1770628281.718000
0.15,-56,1770628281.8171800
0.15,-56,1770628281.917900
0.15,-56,1770628282.0169900
0.15,-56,1770628282.1171300
0.15,-56,1770628282.2164700
0.15,-56,1770628282.3188000
0.15,-56,1770628282.4206600
0.15,-56,1770628282.5193100
0.15,-56,1770628282.6170700
0.15,-56,1770628282.7205600
0.15,-56,1770628282.8173900
0.15,-56,1770628282.9220400
0.15,-56,1770628283.0188200
0.15,-56,1770628283.1180100
0.15,-56,1770628283.21726
0.15,-56,1770628283.319040
0.15,-56,1770628283.4178000
0.15,-56,1770628283.5178100
0.15,-56,1770628283.617880
0.15,-56,1770628283.7185500
0.15,-56,1770628283.8198000
0.15,-56,1770628283.9197300
0.15,-56,1770628284.0176200
0.15,-56,1770628284.11804
0.15,-56,1770628284.2194200
0.15,-56,1770628284.3197700
0.15,-56,1770628284.4235200
0.15,-56,1770628284.5249800
0.15,-56,1770628284.6225000
0.15,-56,1770628284.72126
0.15,-56,1770628284.8229100
0.15,-56,1770628284.921790
0.15,-56,1770628285.025630
0.15,-56,1770628285.1238600
0.15,-56,1770628285.2243300
0.15,-60,1770628285.322580
0.15,-56,1770628285.4229800
0.15,-56,1770628285.5276400
0.15,-56,1770628285.6276300
0.15,-56,1770628285.7225500
0.15,-56,1770628285.8257300
0.15,-56,1770628285.925430
0.15,-56,1770628286.0347100
0.15,-56,1770628286.123340
0.15,-56,1770628286.2227300
0.15,-56,1770628286.3238200
0.15,-56,1770628286.4240500
0.15,-56,1770628286.5243100
0.15,-56,1770628286.6247800
0.15,-56,1770628286.724580
0.15,-56,1770628286.8253000
0.15,-56,1770628286.9263400
0.15,-56,1770628287.025520
0.15,-56,1770628287.1267700
0.15,-56,1770628287.2245400
0.15,-56,1770628287.3262900
0.15,-56,1770628287.425410
0.15,-56,1770628287.524660
0.15,-56,1770628287.6254200
0.15,-56,1770628287.7252200
0.15,-56,1770628287.8253200
0.15,-56,1770628287.9253000
0.15,-56,1770628288.0256300
0.15,-56,1770628288.1252400
0.15,-56,1770628288.2247500
0.15,-56,1770628288.3257700
0.15,-56,1770628288.4258300
0.15,-56,1770628288.525030
0.15,-56,1770628288.6254200
0.15,-56,1770628288.7261600
0.15,-56,1770628288.8269200
0.15,-56,1770628288.9272600
0.15,-56,1770628289.0279500
0.15,-56,1770628289.1298300
0.15,-56,1770628289.2297500
0.15,-56,1770628289.3295000
0.15,-56,1770628289.429380
0.15,-56,1770628289.529460
0.15,-56,1770628289.6311100
0.15,-56,1770628289.7306000
0.15,-56,1770628289.8314400
0.15,-56,1770628289.9316800
0.15,-56,1770628290.0328200
0.15,-56,1770628290.1317600
0.15,-55,1770628290.2316600
0.15,-55,1770628290.3317500
0.15,-56,1770628290.4318900
0.15,-56,1770628290.5316600
0.15,-56,1770628290.6327400
0.15,-56,1770628290.7318200
0.15,-56,1770628290.8328600
0.15,-56,1770628290.932390
0.15,-56,1770628291.0328300
0.15,-56,1770628291.1324200
0.15,-56,1770628291.2337100
0.15,-56,1770628291.3325800
0.15,-56,1770628291.4346900
0.15,-56,1770628291.534720
0.15,-56,1770628291.635440
0.15,-55,1770628291.7354300
0.15,-56,1770628291.8377500
0.15,-56,1770628291.93981
0.15,-56,1770628292.0356300
0.15,-56,1770628292.1357200
0.15,-56,1770628292.234660
0.15,-56,1770628292.3368300
0.15,-56,1770628292.4358800
0.15,-56,1770628292.5358300
0.15,-56,1770628292.6356800
0.15,-56,1770628292.7357600
0.15,-56,1770628292.8353300
0.15,-56,1770628292.9360400
0.15,-56,1770628293.0364300
0.15,-56,1770628293.1399500
0.15,-56,1770628293.2373200
0.15,-56,1770628293.335890
0.15,-56,1770628293.435940
0.15,-56,1770628293.5353200
0.15,-56,1770628293.6349100
0.15,-57,1770628293.7353700
0.15,-56,1770628293.8349300
0.15,-56,1770628293.9356800
0.15,-56,1770628294.0368700
0.15,-56,1770628294.135640
0.15,-56,1770628294.2364600
0.15,-56,1770628294.3363900
0.15,-56,1770628294.436650
0.15,-56,1770628294.5368700
0.15,-56,1770628294.636960
0.15,-56,1770628294.7370500
0.15,-56,1770628294.839740
0.15,-56,1770628294.9367700
0.15,-56,1770628295.0363800
0.15,-56,1770628295.139610
0.15,-56,1770628295.2370900
0.15,-56,1770628295.3394900
0.15,-56,1770628295.4360600
0.15,-56,1770628295.535480
0.15,-56,1770628295.636020
0.15,-56,1770628295.7359200
0.15,-56,1770628295.8367900
0.15,-56,1770628295.9356000
0.15,-56,1770628296.0378800
0.15,-56,1770628296.1361400
0.15,-56,1770628296.2376000
0.15,-56,1770628296.3359400
0.15,-56,1770628296.43714
0.15,-56,1770628296.5355700
0.15,-56,1770628296.6370800
0.15,-56,1770628296.7373000
0.15,-56,1770628296.836710
0.15,-56,1770628296.938700
0.15,-56,1770628297.0387800
0.15,-56,1770628297.1400700
0.15,-56,1770628297.23897
0.15,-56,1770628297.3405600
0.15,-56,1770628297.4405300
0.15,-56,1770628297.541160
0.15,-56,1770628297.6409300
0.15,-56,1770628297.7425500
0.15,-56,1770628297.8417500
0.15,-56,1770628297.9433300
0.15,-56,1770628298.0416100
0.15,-56,1770628298.142830
0.15,-56,1770628298.2415300
0.15,-56,1770628298.3430100
0.15,-56,1770628298.4413900
0.15,-56,1770628298.5414200
0.15,-56,1770628298.6417200
0.15,-56,1770628298.7415400
0.15,-56,1770628298.8427900
0.15,-56,1770628298.9428500
0.15,-56,1770628299.0430500
0.15,-56,1770628299.14342
0.15,-56,1770628299.2427300
0.15,-56,1770628299.3440000
0.15,-56,1770628299.4444900
0.15,-56,1770628299.5447800
0.15,-56,1770628299.6452400
0.15,-56,1770628299.7440100
0.15,-56,1770628299.8448200
0.15,-56,1770628299.9443100
0.15,-56,1770628300.044030
0.15,-56,1770628300.1447500
0.15,-56,1770628300.2458000
0.15,-56,1770628300.3448500
0.15,-56,1770628300.4446400
0.15,-56,1770628300.5439500
0.15,-56,1770628300.6457400
0.15,-56,1770628300.74434
0.15,-56,1770628300.8447900
0.15,-56,1770628300.9438500
0.15,-56,1770628301.045490
0.15,-56,1770628301.145640
0.15,-56,1770628301.2451300
0.15,-56,1770628301.3444000
0.15,-56,1770628301.4445200
0.15,-56,1770628301.5453200
0.15,-56,1770628301.644780
0.15,-56,1770628301.745720
0.15,-56,1770628301.8437100
0.15,-56,1770628301.9437500
0.15,-56,1770628302.0459100
0.15,-56,1770628302.1443600
0.15,-56,1770628302.2453300
0.15,-56,1770628302.3441500
0.15,-56,1770628302.4438200
0.15,-56,1770628302.5444200
0.15,-56,1770628302.644640
0.15,-56,1770628302.7454200
0.15,-56,1770628302.845240
0.15,-56,1770628302.9458700
0.15,-56,1770628303.04477
0.15,-56,1770628303.146240
0.15,-56,1770628303.2451400
0.15,-56,1770628303.3462600
0.15,-56,1770628303.4459000
0.15,-56,1770628303.5456500
0.15,-56,1770628303.6469
0.15,-56,1770628303.7468900
0.15,-56,1770628303.8466700
0.15,-56,1770628303.947860
0.15,-56,1770628304.0486300
0.15,-56,1770628304.1475400
0.15,-55,1770628304.2487300
0.15,-56,1770628304.3486900
0.15,-56,1770628304.446970
0.15,-56,1770628304.5482800
0.15,-56,1770628304.6477500
0.15,-56,1770628304.7485400
0.15,-56,1770628304.8486700
0.15,-55,1770628304.9466300
0.15,-56,1770628305.048670
0.15,-56,1770628305.1492700
0.15,-56,1770628305.2492800
0.15,-56,1770628305.3479200
0.15,-56,1770628305.4492300
0.15,-56,1770628305.5497700
0.15,-56,1770628305.6493300
0.15,-56,1770628305.7505800
0.15,-56,1770628305.8507700
0.15,-56,1770628305.9499400
0.15,-56,1770628306.0498800
0.15,-56,1770628306.1503600
0.15,-56,1770628306.2499100
0.15,-56,1770628306.3504300
0.15,-56,1770628306.449850
0.15,-56,1770628306.550660
0.15,-56,1770628306.6499100
0.15,-56,1770628306.750380
0.15,-56,1770628306.8524000
0.15,-56,1770628306.950020
0.15,-56,1770628307.0508600
0.15,-56,1770628307.1506500
0.15,-56,1770628307.2509200
0.15,-56,1770628307.349780
0.15,-56,1770628307.450730
0.15,-55,1770628307.5502500
0.15,-56,1770628307.6503100
0.15,-56,1770628307.7502900
0.15,-56,1770628307.849940
0.15,-56,1770628307.9507600
0.15,-56,1770628308.0507400
0.15,-56,1770628308.150660
0.15,-56,1770628308.2497700
0.15,-56,1770628308.3506200
0.15,-56,1770628308.4500500
0.15,-56,1770628308.551760
0.15,-56,1770628308.6508300
0.15,-56,1770628308.7511900
0.15,-56,1770628308.8497600
0.15,-56,1770628308.9508400
0.15,-56,1770628309.0508500
0.15,-56,1770628309.1505200
0.15,-56,1770628309.2508800
0.15,-56,1770628309.3521200
0.15,-55,1770628309.452990
0.15,-55,1770628309.553180
0.15,-56,1770628309.6528200
0.15,-56,1770628309.7537300
0.15,-57,1770628309.85276
0.15,-56,1770628309.9538100
0.15,-56,1770628310.0527900
0.15,-56,1770628310.1528700
0.15,-56,1770628310.253130
0.15,-56,1770628310.3536400
0.15,-56,1770628310.453940
0.15,-56,1770628310.5537400
0.15,-55,1770628310.6538200
0.15,-56,1770628310.753290
0.15,-56,1770628310.8567400
0.15,-56,1770628310.9538500
0.15,-56,1770628311.053780
0.15,-56,1770628311.1529500
0.15,-56,1770628311.2523400
0.15,-56,1770628311.35357
0.15,-56,1770628311.4537300
0.15,-56,1770628311.554450
0.15,-56,1770628311.653650
0.15,-56,1770628311.7550300
0.15,-56,1770628311.853690
0.15,-56,1770628311.9546500
0.15,-56,1770628312.0550900
0.15,-56,1770628312.1542400
0.15,-56,1770628312.2539600
0.15,-56,1770628312.3546000
0.15,-56,1770628312.454690
0.15,-56,1770628312.5544300
0.15,-56,1770628312.6539100
0.15,-56,1770628312.7531800
0.15,-56,1770628312.854610
0.15,-56,1770628312.955030
0.15,-56,1770628313.053920
0.15,-56,1770628313.1546800
0.15,-56,1770628313.2548100
0.15,-56,1770628313.3538600
0.15,-56,1770628313.453910
0.15,-56,1770628313.5532100
0.15,-56,1770628313.654710
0.15,-56,1770628313.754000
0.15,-56,1770628313.8544000
0.15,-56,1770628313.9540700
0.15,-56,1770628314.053510
0.15,-56,1770628314.1534200
0.15,-56,1770628314.2531900
0.15,-56,1770628314.3546900
0.15,-56,1770628314.4540100
0.15,-56,1770628314.5545900
0.15,-56,1770628314.6547300
0.15,-56,1770628314.754400
0.15,-56,1770628314.8541500
0.15,-56,1770628314.9547700
0.15,-56,1770628315.0540800
0.15,-56,1770628315.154590
0.15,-56,1770628315.2537400
0.15,-56,1770628315.3551400
0.15,-56,1770628315.4536200
0.15,-56,1770628315.5539800
0.15,-56,1770628315.6545900
0.15,-56,1770628315.7554900
0.15,-56,1770628315.853840
0.15,-56,1770628315.9546400
0.15,-56,1770628316.0540700
0.15,-56,1770628316.1549600
0.15,-56,1770628316.2538200
0.15,-56,1770628316.3538800
0.15,-56,1770628316.453850
0.15,-56,1770628316.5547000
0.15,-56,1770628316.6539400
0.15,-56,1770628316.7544000
0.15,-56,1770628316.8580500
0.15,-56,1770628316.9548300
0.15,-56,1770628317.0537600
0.15,-56,1770628317.1547700
0.15,-56,1770628317.2541200
0.15,-56,1770628317.354000
0.15,-56,1770628317.4543400
0.15,-56,1770628317.5541700
0.15,-56,1770628317.6546700
0.15,-56,1770628317.7544400
0.15,-56,1770628317.853820
0.15,-56,1770628317.9547300
0.15,-56,1770628318.0550800
0.15,-56,1770628318.155340
0.15,-56,1770628318.2545500
0.15,-56,1770628318.355710
0.15,-56,1770628318.4544500
0.15,-56,1770628318.5548900
0.15,-56,1770628318.655160
0.15,-56,1770628318.754850
0.15,-56,1770628318.8548900
0.15,-56,1770628318.955660
0.15,-56,1770628319.05436
0.15,-56,1770628319.1558600
0.15,-56,1770628319.2566500
0.15,-56,1770628319.3551200
0.15,-56,1770628319.4544500
0.15,-56,1770628319.5548700
0.15,-56,1770628319.6540900
